,B2B,Fintech,Consumer,Education,Real Estate and Construction,Healthcare,Industrials,Unspecified,Government
Winter 2018,0.3767123287671233,0.07534246575342465,0.2465753424657534,0.0273972602739726,0.02054794520547945,0.18493150684931506,0.0547945205479452,0.0,0.0136986301369863
Summer 2018,0.3435114503816794,0.10687022900763359,0.13740458015267176,0.030534351145038167,0.022900763358778626,0.2824427480916031,0.06870229007633588,0.0,0.007633587786259542
Winter 2019,0.4205128205128205,0.11282051282051282,0.18974358974358974,0.035897435897435895,0.02564102564102564,0.1282051282051282,0.07692307692307693,0.0,0.010256410256410256
Summer 2019,0.3977272727272727,0.14204545454545456,0.1534090909090909,0.028409090909090908,0.0625,0.13636363636363635,0.06818181818181818,0.0,0.011363636363636364
Winter 2020,0.4410480349344978,0.13973799126637554,0.12663755458515283,0.021834061135371178,0.039301310043668124,0.1572052401746725,0.07423580786026202,0.0,0.0
Summer 2020,0.5192307692307693,0.11538461538461539,0.12980769230769232,0.019230769230769232,0.02403846153846154,0.15384615384615385,0.028846153846153848,0.0,0.009615384615384616
Winter 2021,0.48214285714285715,0.15178571428571427,0.11607142857142858,0.03869047619047619,0.017857142857142856,0.12202380952380952,0.06845238095238096,0.0,0.002976190476190476
Summer 2021,0.46035805626598464,0.16112531969309463,0.09974424552429667,0.03836317135549872,0.020460358056265986,0.16624040920716113,0.05115089514066496,0.0,0.0025575447570332483
Winter 2022,0.44974874371859297,0.2236180904522613,0.09798994974874371,0.020100502512562814,0.035175879396984924,0.11055276381909548,0.06030150753768844,0.0,0.002512562814070352
Summer 2022,0.5170940170940171,0.18376068376068377,0.08974358974358974,0.004273504273504274,0.038461538461538464,0.10683760683760683,0.05982905982905983,0.0,0.0
Winter 2023,0.6751824817518248,0.10948905109489052,0.08029197080291971,0.010948905109489052,0.014598540145985401,0.08394160583941605,0.021897810218978103,0.0,0.0036496350364963502
Summer 2023,0.6940639269406392,0.0730593607305936,0.0410958904109589,0.0136986301369863,0.0273972602739726,0.1278538812785388,0.0228310502283105,0.0,0.0
Winter 2024,0.6305220883534136,0.08032128514056225,0.10441767068273092,0.01606425702811245,0.012048192771084338,0.11646586345381527,0.03614457831325301,0.0,0.004016064257028112
Summer 2024,0.6451612903225806,0.04838709677419355,0.07661290322580645,0.004032258064516129,0.016129032258064516,0.09274193548387097,0.10080645161290322,0.0,0.016129032258064516
Fall 2024,0.6063829787234043,0.06382978723404255,0.11702127659574468,0.010638297872340425,0.0425531914893617,0.09574468085106383,0.05319148936170213,0.0,0.010638297872340425
Winter 2025,0.6227544910179641,0.07784431137724551,0.05389221556886228,0.029940119760479042,0.011976047904191617,0.0718562874251497,0.10778443113772455,0.0,0.023952095808383235
Spring 2025,0.6783216783216783,0.04195804195804196,0.04895104895104895,0.027972027972027972,0.006993006993006993,0.07692307692307693,0.1048951048951049,0.0,0.013986013986013986
Summer 2025,0.6987951807228916,0.04819277108433735,0.060240963855421686,0.012048192771084338,0.024096385542168676,0.07228915662650602,0.0783132530120482,0.0,0.006024096385542169
Fall 2025,0.6216216216216216,0.05405405405405406,0.12162162162162163,0.0,0.04054054054054054,0.06756756756756757,0.08108108108108109,0.0,0.013513513513513514
Winter 2026,0.6414141414141414,0.09090909090909091,0.03535353535353535,0.0,0.015151515151515152,0.08080808080808081,0.13636363636363635,0.0,0.0
Spring 2026,0.6142131979695431,0.09644670050761421,0.06091370558375635,0.0,0.02030456852791878,0.08629441624365482,0.116751269035533,0.0,0.005076142131979695
