,baseline_share,recent_share,change
Procurement,0.002906603779943346,0.0015060240963855422,-0.0014005796835578036
Satellites,0.003101396993838905,0.0016891891891891893,-0.0014122078046497157
Nanotechnology,0.0014465967933121218,0.0,-0.0014465967933121218
Mental Health Tech,0.0014465967933121218,0.0,-0.0014465967933121218
Cryptocurrency,0.002729287821512132,0.0012626262626262627,-0.0014666615588858694
Airplanes,0.0015245804479381122,0.0,-0.0015245804479381122
Chatbot,0.0015611686694578407,0.0,-0.0015611686694578407
SMS,0.0015788407718367948,0.0,-0.0015788407718367948
DeFi,0.0016025641025641025,0.0,-0.0016025641025641025
Fraud Prevention,0.0016069723220243108,0.0,-0.0016069723220243108
Banking as a Service,0.001639152324083831,0.0,-0.001639152324083831
Billing,0.0016455847694800412,0.0,-0.0016455847694800412
Electric Vehicles,0.0016609117531360637,0.0,-0.0016609117531360637
Messaging,0.0029323513366066555,0.0012690355329949238,-0.0016633158036117317
Augmented Reality,0.0017867232862645265,0.0,-0.0017867232862645265
Community,0.0018168790623880446,0.0,-0.0018168790623880446
Airlines,0.0019005634897503157,0.0,-0.0019005634897503157
Creator Economy,0.005095814141516598,0.0031952132855747315,-0.0019006008559418661
Web Development,0.006406198852976525,0.004464248818569655,-0.0019419500344068693
Home Services,0.003655649793600687,0.0016891891891891893,-0.0019664606044114976
Feedback,0.002014104806322062,0.0,-0.002014104806322062
Food Tech,0.0035511689280047385,0.0015060240963855422,-0.0020451448316191963
Computer Vision,0.013953963151509811,0.01186749454821744,-0.002086468603292372
Latin America,0.002141160356212345,0.0,-0.002141160356212345
Trading,0.003408620481742447,0.0012626262626262627,-0.0021459942191161844
Monitoring,0.0038653592112792685,0.0016891891891891893,-0.002176170022090079
Housing,0.0022907555443290426,0.0,-0.0022907555443290426
Medical Devices,0.0038169009018159043,0.0015060240963855422,-0.002310876805430362
Payroll,0.0035941895949206768,0.0012626262626262627,-0.0023315633322944142
International,0.0023358275242355833,0.0,-0.0023358275242355833
Grocery,0.0024352945435837147,0.0,-0.0024352945435837147
Entertainment,0.005850740911254197,0.0033783783783783786,-0.0024723625328758186
Solar Power,0.003735328111705163,0.0012626262626262627,-0.0024727018490789
Fraud Detection,0.0024827928596286705,0.0,-0.0024827928596286705
Renewable Energy,0.0037719163332248905,0.0012626262626262627,-0.0025092900705986276
Subscriptions,0.002519381081148398,0.0,-0.002519381081148398
Robotic Process Automation,0.008324845224978793,0.005726875081195917,-0.002597970143782876
Identity,0.002638760168880651,0.0,-0.002638760168880651
GovTech,0.008838650004363409,0.006153438007758845,-0.0026852119966045643
Energy Storage,0.002712755695895564,0.0,-0.002712755695895564
Consumer Products,0.00282733624171187,0.0,-0.00282733624171187
Privacy,0.0029091710255247124,0.0,-0.0029091710255247124
ML,0.005504841097820616,0.0025316617956211863,-0.00297317930219943
Diagnostics,0.003103421219774907,0.0,-0.003103421219774907
Supply Chain,0.015201122313979739,0.011987960030128704,-0.003213162283851035
Drug discovery,0.004920922043453256,0.0016891891891891893,-0.003231732854264067
Media,0.006613068668801063,0.0033783783783783786,-0.0032346902904226843
Fitness,0.0032462120574236687,0.0,-0.0032462120574236687
FinOps,0.00621351108243245,0.0029518154518154522,-0.003261695630616998
Delivery,0.003425143937688428,0.0,-0.003425143937688428
Gaming,0.008115140154056235,0.004647413911373303,-0.003467726242682932
Customer Success,0.006937572089483798,0.0033783783783783786,-0.0035591937111054198
Team Collaboration,0.0035695390301000007,0.0,-0.0035695390301000007
LegalTech,0.011887662114068734,0.008262780853142299,-0.003624881260926435
Healthcare IT,0.01299061198418587,0.00916548620052993,-0.003825125783655941
Health Insurance,0.005520833321867907,0.0016891891891891893,-0.0038316441326787173
Retail Tech,0.003912109720161598,0.0,-0.003912109720161598
Telehealth,0.004005678644088297,0.0,-0.004005678644088297
Electronics,0.004125675146354832,0.0,-0.004125675146354832
Neobank,0.00907680946145918,0.00488440247476392,-0.0041924069866952594
Operations,0.011673014594387127,0.007409655000016446,-0.004263359594370681
Transportation,0.006008009443452839,0.0016891891891891893,-0.004318820254263649
Collaboration,0.004355438256379317,0.0,-0.004355438256379317
Design Tools,0.01059044118031527,0.006147028737390183,-0.004443412442925087
ClimateTech,0.00596904034648499,0.0015060240963855422,-0.004463016250099448
Call Center,0.004626583068564625,0.0,-0.004626583068564625
Cloud Computing,0.01110753080731319,0.006207261478345816,-0.004900269328967374
Regtech,0.0062066678571632405,0.0012626262626262627,-0.0049440415945369775
Social Media,0.008337812826394668,0.0033783783783783786,-0.004959434448016289
Data Visualization,0.007996120833912185,0.0030120481927710845,-0.0049840726411411
Search,0.007998690362374869,0.0030120481927710845,-0.0049866421696037845
Oncology,0.005027037248266763,0.0,-0.005027037248266763
Customer Service,0.005067499339271922,0.0,-0.005067499339271922
E-commerce,0.01596679086196932,0.01085467538971912,-0.005112115472250201
CRM,0.0051369992355111,0.0,-0.0051369992355111
Investing,0.009890711194653543,0.004701237381960274,-0.0051894738126932695
Travel,0.0067419958681136614,0.0015060240963855422,-0.00523597177172812
Edtech,0.005478961301384941,0.0,-0.005478961301384941
Semiconductors,0.005652412060001312,0.0,-0.005652412060001312
Consumer Health Services,0.009132722106222138,0.0033783783783783786,-0.0057543437278437595
Automotive,0.007771027816374069,0.0016891891891891893,-0.0060818386271848796
Retail,0.007816018771754352,0.0015060240963855422,-0.0063099946753688105
Customer Support,0.0101193367314729,0.0033783783783783786,-0.006740958353094521
Telecommunications,0.0067681118620357625,0.0,-0.0067681118620357625
Synthetic Biology,0.007111934504104075,0.0,-0.007111934504104075
Aerospace,0.013511940184994775,0.006330193830193831,-0.007181746354800944
Infrastructure,0.04108437455369135,0.03380318064435244,-0.007281193909338908
Databases,0.009013477019513962,0.0016891891891891893,-0.007324287830324773
Sales Enablement,0.011854899225520184,0.004281083725766008,-0.007573815499754177
