,"B2B -> Engineering, Product and Design",Fintech -> Consumer Finance,B2B -> Productivity,B2B -> Finance and Accounting,B2B -> Infrastructure,Consumer -> Home and Personal,B2B -> Marketing,Education,Consumer -> Social,Consumer -> Consumer Electronics,Real Estate and Construction -> Housing and Real Estate,"Consumer -> Travel, Leisure and Tourism",B2B -> Analytics,B2B -> Retail,Consumer -> Gaming,Consumer -> Content,Consumer -> Apparel and Cosmetics,Healthcare -> Healthcare IT,B2B -> Office Management,B2B -> Sales,Fintech -> Payments,Consumer -> Food and Beverage,Consumer -> Job and Career Services,Fintech -> Asset Management,B2B -> Legal,B2B -> Recruiting and Talent,B2B,B2B -> Security,Healthcare -> Healthcare Services,Consumer -> Transportation Services,Consumer -> Virtual and Augmented Reality,Real Estate and Construction -> Construction,B2B -> Human Resources,Industrials,Industrials -> Manufacturing and Robotics,Industrials -> Agriculture,Fintech -> Credit and Lending,B2B -> Operations,Fintech -> Banking and Exchange,B2B -> Supply Chain and Logistics,Consumer,Healthcare -> Consumer Health and Wellness,Industrials -> Drones,Healthcare,Fintech,Industrials -> Automotive,Unspecified,Industrials -> Climate,Industrials -> Energy,Healthcare -> Industrial Bio,Government,Healthcare -> Diagnostics,Healthcare -> Drug Discovery and Delivery,Healthcare -> Medical Devices,Industrials -> Aviation and Space,Real Estate and Construction,Fintech -> Insurance,Industrials -> Defense,Healthcare -> Therapeutics
Summer 2015,0.04807692307692308,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.07692307692307693,0.019230769230769232,0.028846153846153848,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.009615384615384616,0.028846153846153848,0.009615384615384616,0.028846153846153848,0.028846153846153848,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.028846153846153848,0.0,0.0,0.028846153846153848,0.057692307692307696,0.0,0.04807692307692308,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.04807692307692308,0.0,0.009615384615384616,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.028846153846153848,0.0,0.028846153846153848,0.019230769230769232,0.0,0.028846153846153848,0.009615384615384616,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.009615384615384616,0.0,0.0,0.0
Winter 2016,0.08196721311475409,0.00819672131147541,0.04918032786885246,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.040983606557377046,0.01639344262295082,0.02459016393442623,0.040983606557377046,0.01639344262295082,0.0,0.01639344262295082,0.040983606557377046,0.01639344262295082,0.0,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.0,0.01639344262295082,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.01639344262295082,0.0,0.00819672131147541,0.01639344262295082,0.01639344262295082,0.0,0.00819672131147541,0.01639344262295082,0.0,0.040983606557377046,0.0,0.0,0.0,0.01639344262295082,0.02459016393442623,0.0,0.01639344262295082,0.00819672131147541,0.00819672131147541,0.03278688524590164,0.00819672131147541,0.02459016393442623,0.02459016393442623,0.0,0.01639344262295082,0.0,0.0
Summer 2016,0.049019607843137254,0.00980392156862745,0.029411764705882353,0.0392156862745098,0.00980392156862745,0.09803921568627451,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.029411764705882353,0.0196078431372549,0.0196078431372549,0.0,0.049019607843137254,0.00980392156862745,0.0196078431372549,0.029411764705882353,0.029411764705882353,0.0,0.0196078431372549,0.00980392156862745,0.00980392156862745,0.0,0.0,0.0,0.0,0.0392156862745098,0.00980392156862745,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.00980392156862745,0.0,0.0196078431372549,0.0,0.029411764705882353,0.00980392156862745,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.0196078431372549,0.0,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.0196078431372549,0.00980392156862745,0.00980392156862745,0.0196078431372549,0.0,0.0,0.00980392156862745,0.0,0.0,0.00980392156862745,0.0
Winter 2017,0.02586206896551724,0.017241379310344827,0.05172413793103448,0.0,0.034482758620689655,0.05172413793103448,0.02586206896551724,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.04310344827586207,0.0,0.008620689655172414,0.02586206896551724,0.0,0.017241379310344827,0.0,0.034482758620689655,0.04310344827586207,0.02586206896551724,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.017241379310344827,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.008620689655172414,0.0,0.02586206896551724,0.0,0.034482758620689655,0.02586206896551724,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.034482758620689655,0.02586206896551724,0.008620689655172414,0.008620689655172414,0.0,0.008620689655172414,0.02586206896551724,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.008620689655172414,0.017241379310344827,0.017241379310344827,0.008620689655172414,0.008620689655172414,0.0,0.017241379310344827,0.0,0.008620689655172414
Summer 2017,0.04,0.008,0.024,0.008,0.008,0.024,0.008,0.048,0.072,0.008,0.024,0.008,0.008,0.024,0.032,0.016,0.016,0.04,0.0,0.016,0.024,0.024,0.016,0.008,0.0,0.04,0.0,0.024,0.016,0.016,0.016,0.024,0.0,0.0,0.008,0.016,0.016,0.008,0.008,0.008,0.016,0.032,0.016,0.0,0.016,0.016,0.0,0.032,0.016,0.0,0.032,0.048,0.0,0.008,0.024,0.0,0.032,0.0,0.008
Winter 2018,0.08904109589041095,0.0136986301369863,0.03424657534246575,0.02054794520547945,0.0136986301369863,0.02054794520547945,0.0273972602739726,0.0273972602739726,0.0410958904109589,0.0,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.02054794520547945,0.0273972602739726,0.0410958904109589,0.0136986301369863,0.0410958904109589,0.0,0.00684931506849315,0.0136986301369863,0.0410958904109589,0.0,0.00684931506849315,0.02054794520547945,0.0273972602739726,0.02054794520547945,0.03424657534246575,0.0410958904109589,0.00684931506849315,0.02054794520547945,0.00684931506849315,0.0273972602739726,0.0,0.0273972602739726,0.02054794520547945,0.00684931506849315,0.00684931506849315,0.0136986301369863,0.0136986301369863,0.02054794520547945,0.0136986301369863,0.0,0.0,0.00684931506849315,0.0,0.0,0.00684931506849315,0.0,0.00684931506849315,0.0136986301369863,0.00684931506849315,0.02054794520547945,0.02054794520547945,0.0,0.0,0.0136986301369863,0.0,0.03424657534246575
Summer 2018,0.0916030534351145,0.015267175572519083,0.03816793893129771,0.015267175572519083,0.015267175572519083,0.007633587786259542,0.015267175572519083,0.030534351145038167,0.022900763358778626,0.0,0.022900763358778626,0.007633587786259542,0.007633587786259542,0.022900763358778626,0.015267175572519083,0.0,0.015267175572519083,0.04580152671755725,0.0,0.007633587786259542,0.030534351145038167,0.04580152671755725,0.0,0.015267175572519083,0.007633587786259542,0.007633587786259542,0.030534351145038167,0.0,0.03816793893129771,0.007633587786259542,0.015267175572519083,0.0,0.03816793893129771,0.0,0.015267175572519083,0.015267175572519083,0.007633587786259542,0.022900763358778626,0.022900763358778626,0.022900763358778626,0.0,0.04580152671755725,0.015267175572519083,0.0,0.015267175572519083,0.015267175572519083,0.0,0.0,0.0,0.04580152671755725,0.007633587786259542,0.030534351145038167,0.015267175572519083,0.007633587786259542,0.007633587786259542,0.0,0.0,0.0,0.05343511450381679
Winter 2019,0.08717948717948718,0.020512820512820513,0.035897435897435895,0.015384615384615385,0.015384615384615385,0.02564102564102564,0.010256410256410256,0.035897435897435895,0.020512820512820513,0.0,0.020512820512820513,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.020512820512820513,0.020512820512820513,0.005128205128205128,0.020512820512820513,0.010256410256410256,0.02564102564102564,0.015384615384615385,0.046153846153846156,0.0,0.010256410256410256,0.010256410256410256,0.035897435897435895,0.020512820512820513,0.015384615384615385,0.015384615384615385,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.0,0.02564102564102564,0.005128205128205128,0.020512820512820513,0.05128205128205128,0.020512820512820513,0.046153846153846156,0.02564102564102564,0.015384615384615385,0.0,0.005128205128205128,0.015384615384615385,0.005128205128205128,0.0,0.015384615384615385,0.010256410256410256,0.010256410256410256,0.010256410256410256,0.020512820512820513,0.0,0.005128205128205128,0.015384615384615385,0.0,0.010256410256410256,0.0,0.035897435897435895
Summer 2019,0.10227272727272728,0.03409090909090909,0.017045454545454544,0.0,0.056818181818181816,0.028409090909090908,0.022727272727272728,0.028409090909090908,0.017045454545454544,0.005681818181818182,0.03409090909090909,0.005681818181818182,0.017045454545454544,0.022727272727272728,0.011363636363636364,0.022727272727272728,0.028409090909090908,0.011363636363636364,0.0,0.005681818181818182,0.03409090909090909,0.005681818181818182,0.011363636363636364,0.0,0.0,0.028409090909090908,0.0625,0.022727272727272728,0.022727272727272728,0.005681818181818182,0.0,0.017045454545454544,0.017045454545454544,0.005681818181818182,0.028409090909090908,0.005681818181818182,0.028409090909090908,0.005681818181818182,0.011363636363636364,0.017045454545454544,0.011363636363636364,0.03409090909090909,0.0,0.0,0.017045454545454544,0.005681818181818182,0.0,0.011363636363636364,0.005681818181818182,0.011363636363636364,0.011363636363636364,0.005681818181818182,0.011363636363636364,0.022727272727272728,0.005681818181818182,0.011363636363636364,0.017045454545454544,0.0,0.017045454545454544
Winter 2020,0.08733624454148471,0.021834061135371178,0.043668122270742356,0.013100436681222707,0.043668122270742356,0.017467248908296942,0.013100436681222707,0.021834061135371178,0.017467248908296942,0.004366812227074236,0.026200873362445413,0.0,0.026200873362445413,0.043668122270742356,0.017467248908296942,0.013100436681222707,0.008733624454148471,0.008733624454148471,0.004366812227074236,0.021834061135371178,0.03056768558951965,0.017467248908296942,0.008733624454148471,0.004366812227074236,0.0,0.017467248908296942,0.034934497816593885,0.013100436681222707,0.008733624454148471,0.008733624454148471,0.0,0.013100436681222707,0.013100436681222707,0.004366812227074236,0.021834061135371178,0.004366812227074236,0.034934497816593885,0.026200873362445413,0.03056768558951965,0.039301310043668124,0.013100436681222707,0.048034934497816595,0.004366812227074236,0.004366812227074236,0.008733624454148471,0.008733624454148471,0.0,0.013100436681222707,0.004366812227074236,0.008733624454148471,0.0,0.021834061135371178,0.03056768558951965,0.008733624454148471,0.013100436681222707,0.0,0.008733624454148471,0.0,0.017467248908296942
Summer 2020,0.07692307692307693,0.02403846153846154,0.052884615384615384,0.014423076923076924,0.0673076923076923,0.009615384615384616,0.03365384615384615,0.019230769230769232,0.028846153846153848,0.004807692307692308,0.014423076923076924,0.004807692307692308,0.028846153846153848,0.04326923076923077,0.004807692307692308,0.02403846153846154,0.004807692307692308,0.019230769230769232,0.0,0.03365384615384615,0.038461538461538464,0.03365384615384615,0.004807692307692308,0.0,0.004807692307692308,0.009615384615384616,0.057692307692307696,0.02403846153846154,0.009615384615384616,0.0,0.004807692307692308,0.009615384615384616,0.014423076923076924,0.0,0.009615384615384616,0.0,0.004807692307692308,0.038461538461538464,0.028846153846153848,0.019230769230769232,0.004807692307692308,0.028846153846153848,0.0,0.02403846153846154,0.014423076923076924,0.0,0.0,0.009615384615384616,0.009615384615384616,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.019230769230769232,0.014423076923076924,0.0,0.0,0.004807692307692308,0.0,0.009615384615384616
Winter 2021,0.09523809523809523,0.020833333333333332,0.03571428571428571,0.03869047619047619,0.03869047619047619,0.020833333333333332,0.023809523809523808,0.03869047619047619,0.005952380952380952,0.002976190476190476,0.011904761904761904,0.0,0.01488095238095238,0.026785714285714284,0.002976190476190476,0.011904761904761904,0.008928571428571428,0.03869047619047619,0.0,0.01488095238095238,0.03273809523809524,0.026785714285714284,0.008928571428571428,0.011904761904761904,0.005952380952380952,0.017857142857142856,0.05952380952380952,0.011904761904761904,0.008928571428571428,0.002976190476190476,0.002976190476190476,0.005952380952380952,0.011904761904761904,0.002976190476190476,0.01488095238095238,0.0,0.03273809523809524,0.05654761904761905,0.023809523809523808,0.02976190476190476,0.020833333333333332,0.023809523809523808,0.0,0.008928571428571428,0.01488095238095238,0.005952380952380952,0.0,0.008928571428571428,0.01488095238095238,0.005952380952380952,0.002976190476190476,0.008928571428571428,0.0,0.008928571428571428,0.017857142857142856,0.0,0.01488095238095238,0.002976190476190476,0.017857142857142856
Summer 2021,0.07161125319693094,0.020460358056265986,0.023017902813299233,0.03836317135549872,0.020460358056265986,0.0076726342710997444,0.030690537084398978,0.03836317135549872,0.0025575447570332483,0.0,0.010230179028132993,0.0025575447570332483,0.028132992327365727,0.015345268542199489,0.005115089514066497,0.0076726342710997444,0.0025575447570332483,0.010230179028132993,0.0025575447570332483,0.020460358056265986,0.03580562659846547,0.02557544757033248,0.0,0.015345268542199489,0.005115089514066497,0.005115089514066497,0.10997442455242967,0.023017902813299233,0.0076726342710997444,0.0,0.0,0.010230179028132993,0.03580562659846547,0.0,0.005115089514066497,0.005115089514066497,0.017902813299232736,0.0076726342710997444,0.01278772378516624,0.023017902813299233,0.04603580562659847,0.04092071611253197,0.005115089514066497,0.028132992327365727,0.05370843989769821,0.0025575447570332483,0.0,0.015345268542199489,0.005115089514066497,0.0025575447570332483,0.0025575447570332483,0.017902813299232736,0.023017902813299233,0.020460358056265986,0.01278772378516624,0.0,0.005115089514066497,0.0,0.015345268542199489
Winter 2022,0.0678391959798995,0.017587939698492462,0.02763819095477387,0.017587939698492462,0.04522613065326633,0.002512562814070352,0.032663316582914576,0.020100502512562814,0.007537688442211055,0.005025125628140704,0.01507537688442211,0.002512562814070352,0.03015075376884422,0.01256281407035176,0.002512562814070352,0.020100502512562814,0.002512562814070352,0.01507537688442211,0.0,0.017587939698492462,0.04020100502512563,0.01256281407035176,0.0,0.020100502512562814,0.005025125628140704,0.005025125628140704,0.08793969849246232,0.02512562814070352,0.020100502512562814,0.0,0.002512562814070352,0.010050251256281407,0.022613065326633167,0.005025125628140704,0.007537688442211055,0.002512562814070352,0.02763819095477387,0.022613065326633167,0.007537688442211055,0.03015075376884422,0.04020100502512563,0.020100502512562814,0.002512562814070352,0.01507537688442211,0.09296482412060302,0.005025125628140704,0.0,0.02512562814070352,0.005025125628140704,0.005025125628140704,0.002512562814070352,0.007537688442211055,0.005025125628140704,0.01507537688442211,0.007537688442211055,0.010050251256281407,0.017587939698492462,0.0,0.007537688442211055
Summer 2022,0.0811965811965812,0.008547008547008548,0.04700854700854701,0.038461538461538464,0.05982905982905983,0.0,0.029914529914529916,0.004273504273504274,0.0,0.0,0.017094017094017096,0.0,0.017094017094017096,0.004273504273504274,0.017094017094017096,0.0,0.008547008547008548,0.03418803418803419,0.0,0.04700854700854701,0.038461538461538464,0.021367521367521368,0.004273504273504274,0.008547008547008548,0.004273504273504274,0.008547008547008548,0.11538461538461539,0.008547008547008548,0.004273504273504274,0.004273504273504274,0.0,0.008547008547008548,0.017094017094017096,0.004273504273504274,0.008547008547008548,0.0,0.004273504273504274,0.02564102564102564,0.01282051282051282,0.01282051282051282,0.03418803418803419,0.01282051282051282,0.0,0.021367521367521368,0.09829059829059829,0.0,0.0,0.021367521367521368,0.008547008547008548,0.0,0.0,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.017094017094017096,0.01282051282051282,0.01282051282051282,0.0,0.021367521367521368
Winter 2023,0.16423357664233576,0.01824817518248175,0.01824817518248175,0.04744525547445255,0.058394160583941604,0.0072992700729927005,0.01824817518248175,0.010948905109489052,0.0,0.0,0.0036496350364963502,0.0,0.040145985401459854,0.010948905109489052,0.0036496350364963502,0.01824817518248175,0.0036496350364963502,0.021897810218978103,0.0036496350364963502,0.040145985401459854,0.021897810218978103,0.0036496350364963502,0.0,0.0072992700729927005,0.010948905109489052,0.0,0.16423357664233576,0.029197080291970802,0.0072992700729927005,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.010948905109489052,0.0,0.0,0.010948905109489052,0.04744525547445255,0.0036496350364963502,0.01824817518248175,0.043795620437956206,0.0036496350364963502,0.0,0.014598540145985401,0.04744525547445255,0.0,0.0,0.0,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.0036496350364963502,0.025547445255474453,0.0,0.0072992700729927005,0.0072992700729927005,0.0,0.0,0.0036496350364963502
Summer 2023,0.1461187214611872,0.0045662100456621,0.045662100456621,0.0273972602739726,0.0502283105022831,0.0,0.0182648401826484,0.0136986301369863,0.0,0.0,0.0045662100456621,0.0091324200913242,0.0273972602739726,0.0228310502283105,0.0,0.0045662100456621,0.0,0.0410958904109589,0.0,0.0547945205479452,0.0136986301369863,0.0045662100456621,0.0,0.0045662100456621,0.0228310502283105,0.0091324200913242,0.1780821917808219,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0136986301369863,0.0045662100456621,0.0045662100456621,0.0,0.0091324200913242,0.0045662100456621,0.0273972602739726,0.0,0.0319634703196347,0.0228310502283105,0.0228310502283105,0.0,0.0228310502283105,0.0365296803652968,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0,0.0,0.0091324200913242,0.0091324200913242,0.0091324200913242,0.0,0.0091324200913242,0.0091324200913242,0.0,0.0
Winter 2024,0.1646586345381526,0.004016064257028112,0.028112449799196786,0.012048192771084338,0.04819277108433735,0.0,0.012048192771084338,0.01606425702811245,0.008032128514056224,0.008032128514056224,0.004016064257028112,0.004016064257028112,0.0321285140562249,0.004016064257028112,0.004016064257028112,0.028112449799196786,0.0,0.03614457831325301,0.0,0.0321285140562249,0.01606425702811245,0.0,0.0,0.012048192771084338,0.012048192771084338,0.004016064257028112,0.19678714859437751,0.020080321285140562,0.004016064257028112,0.0,0.0,0.008032128514056224,0.004016064257028112,0.0,0.012048192771084338,0.0,0.004016064257028112,0.03614457831325301,0.004016064257028112,0.024096385542168676,0.05220883534136546,0.012048192771084338,0.0,0.0321285140562249,0.028112449799196786,0.0,0.0,0.0,0.004016064257028112,0.0,0.004016064257028112,0.004016064257028112,0.0,0.004016064257028112,0.01606425702811245,0.0,0.012048192771084338,0.004016064257028112,0.024096385542168676
